time,{dmodel}.dmodel.state,{dmodel}.dmodel.d_model_event,{dmodel}.dmodel.d_model_event_args_0,{dmodel}.dmodel.d_model_event_args_1,{dmodel}.dmodel.d_model_event_args_2,{dmodel}.dmodel.d_model_event_args_3,{mapping}.mapping.controller_event,{mapping}.mapping.j0,{mapping}.mapping.j1,{mapping}.mapping.j2,{mapping}.mapping.j3,{mapping}.mapping.j4,{mapping}.mapping.j5,{mapping}.mapping.qd0,{mapping}.mapping.qd1,{mapping}.mapping.qd2,{mapping}.mapping.qd3,{mapping}.mapping.qd4,{mapping}.mapping.qd5,{mapping}.mapping.qdd0,{mapping}.mapping.qdd1,{mapping}.mapping.qdd2,{mapping}.mapping.qdd3,{mapping}.mapping.qdd4,{mapping}.mapping.qdd5,{mapping}.mapping.t0,{mapping}.mapping.t1,{mapping}.mapping.t2,{mapping}.mapping.t3,{mapping}.mapping.t4,{mapping}.mapping.t5,{mapping}.mapping.d_model_event,{mapping}.mapping.output_event,{mapping}.mapping.output_event_args_0,{mapping}.mapping.output_event_args_1,{mapping}.mapping.output_event_args_2,{mapping}.mapping.platform_event_0,{mapping}.mapping.platform_event_1,{mapping}.mapping.platform_event_2,{mapping}.mapping.platform_event_3,{mapping}.mapping.platform_event_4,{mapping}.mapping.platform_event_5,{mapping}.mapping.platform_event_6,{mapping}.mapping.platform_event_7,{mapping}.mapping.platform_event_8,{mapping}.mapping.platform_event_9,{controller}.controller.controller_event,{controller}.controller.controller_event_args_0,{controller}.controller.controller_event_args_1,{controller}.controller.controller_event_args_2
5.0,ArmStop,stop,0.0,1.0,2.0,0.0,,-1.6038731248249514,-1.4731658655988404,1.705747697999315,-1.8033741594228685,-1.5707963433869496,3.108515928019229,-1.5093778671368824E-6,-3.588301638046126E-5,-1.7763568393999728E-13,-7.390529415117708E-5,4.068194670025424E-8,-3.3761484274913708E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.6731356510133091,10.529486626714654,5.033642800467294,0.17830906187042483,9.60901247097876E-5,-0.3932195830631041,stop,,0.0,0.0,0.0,false,false,false,true,true,true,false,false,false,false,,0.0,0.0,0.0
5.5,ArmStop,stop,0.0,1.0,2.0,0.0,,-1.603873119814474,-1.4731673081434398,1.7057476979993131,-1.8033766937599474,-1.5707963393831754,3.1085158175215426,2.761877837542238E-7,4.575540142325702E-5,0.0,8.690714903279747E-5,-4.72978101129155E-8,3.7867671665020216E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.22018669903076363,10.522318258146226,5.0242964886540795,0.16658956584944246,1.3253370003399556E-4,-0.38624164127521377,stop,,0.0,0.0,0.0,false,false,false,true,true,true,false,false,false,false,,0.0,0.0,0.0
6.0,ArmStop,stop,0.0,1.0,2.0,0.0,,-1.6038730790154698,-1.4731672074401256,1.705747697999314,-1.8033773753682318,-1.5707963379348477,3.108515878777551,-2.9625368824776985E-8,-8.512244598078758E-6,1.7763568393999728E-13,-1.440992491552381E-4,-2.7917224088009972E-8,2.4568038270441117E-6,0.0,0.0,0.0,0.0,0.0,0.0,-0.384699577401607,10.516308366130323,5.0244334278538885,0.1728014373977851,7.064616189676063E-5,-0.4126848648054384,stop,,0.0,0.0,0.0,false,false,false,true,true,true,false,false,false,false,moveDiscreteCommand,3.0,2.0,3.0
6.5,ArmStop,stop,0.0,1.0,2.0,0.0,moveDiscreteCommand,-1.603873124760983,-1.473166640390188,1.705747697999314,-1.8033731497947914,-1.5707963386239125,3.1085158210576926,-7.994204409554756E-7,-3.448617054146468E-5,0.0,9.93255664383086E-6,-7.50370432456176E-8,2.3175566354890196E-6,0.0,0.0,0.0,0.0,0.0,0.0,-0.5186438162907111,10.516037460122437,5.040994322078423,0.169740058785555,9.816867393975955E-5,-0.4248577838738104,stop,moveDiscreteCommand,3.0,2.0,3.0,true,false,false,true,true,true,false,false,false,false,,0.0,0.0,0.0
7.0,ArmMove,movediscrete,3.0,2.0,3.0,0.0,,-1.6038731545455907,-1.4731663885837563,1.7057476979993131,-1.8033751185960263,-1.570796340733068,3.1085158273939717,2.0461854433048286E-8,-2.0294338298750984E-5,0.0,1.8103486176809737E-5,2.8627056281034203E-8,-3.6714581597146835E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.20874426665607793,10.521871285359506,5.023354335338767,0.1654219416314814,1.3609987393295472E-4,-0.42612398842303234,stop,,0.0,0.0,0.0,false,false,false,true,true,true,false,true,false,false,,0.0,0.0,0.0
7.5,ArmMove,movediscrete,3.0,2.0,3.0,0.0,,-1.9364050730204996,-1.4157314648871973,1.4517763646483735,-1.6060906925533844,-1.5707963470314237,2.7842133989921978,-0.00160162873150714,8.563927131889953E-5,-0.004201518383518402,0.0053996248018617,2.0264637967674783E-6,-0.2896411557986277,0.0,0.0,0.0,0.0,0.0,0.0,11.00757020267839,11.307507029350353,5.178734376659508,0.3450442594816469,-0.005703726512723008,-3.8564907497797485,movediscrete,,0.0,0.0,0.0,false,false,false,true,true,true,false,false,false,false,,0.0,0.0,0.0
8.0,ArmStop,stop,3.0,2.0,3.0,0.0,,-1.9412016075245493,-1.4156274821628942,1.450221227862511,-1.605389482516272,-1.570796342964183,2.7711793244925955,-6.021849685568047E-11,6.631601934260699E-8,-8.526512829122899E-12,-2.9540814239232043E-10,4.6185277824415705E-12,-7.140954494390427E-11,0.0,0.0,0.0,0.0,0.0,0.0,0.012761741305532278,11.286795780322326,5.16556325400481,0.17898276336616378,9.883394397234997E-5,-1.6095672747962104,movediscrete,,0.0,0.0,0.0,false,false,false,true,true,true,false,false,false,false,,0.0,0.0,0.0
8.5,ArmStop,stop,3.0,2.0,3.0,0.0,,-1.9412016075225917,-1.415627484139283,1.4502212278614142,-1.6053894825543287,-1.5707963429624723,2.7711793244661456,2.696509682210117E-10,-6.40746122826513E-8,0.0,-1.1013412404283744E-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0108764845889865,11.2867913510959,5.165561730273749,0.17898158411320025,9.883404503545855E-5,-1.609567272283027,stop,,0.0,0.0,0.0,false,false,false,true,true,true,false,false,false,false,moveDiscreteCommand,5.0,5.0,2.0
9.0,ArmStop,stop,3.0,2.0,3.0,0.0,moveDiscreteCommand,-1.941201607510573,-1.4156274848158121,1.4502212278614142,-1.605389482554319,-1.5707963429624723,2.7711793244661456,-1.524114168205718E-10,8.222293956807151E-8,0.0,4.263256414561449E-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018361205738266235,11.28679568891184,5.1655617735805475,0.1789816135091534,9.883394111813325E-5,-1.6095672742895206,stop,moveDiscreteCommand,5.0,5.0,2.0,true,false,false,true,true,true,false,false,false,false,,0.0,0.0,0.0
9.5,ArmMove,movediscrete,5.0,5.0,2.0,0.0,,-1.9412016075087601,-1.415627486296513,1.4502212278614133,-1.6053894825543775,-1.5707963429624723,2.7711793244661456,-4.9027448767456665E-11,-1.3302923207450395E-7,0.0,1.0302869668523503E-11,-1.776356839400604E-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020215400003718055,11.286792675371359,5.165562736796742,0.1789823106115101,9.883397185348334E-5,-1.6095672739447409,stop,,0.0,0.0,0.0,false,false,false,true,true,true,false,true,false,false,,0.0,0.0,0.0
