time,{dmodel}.dmodel.movediscrete,{dmodel}.dmodel.pick,{dmodel}.dmodel.place,{dmodel}.dmodel.target_X,{dmodel}.dmodel.target_Y,{dmodel}.dmodel.target_Z,{dmodel}.dmodel.closing_diameter,{dmodel}.dmodel.closing_speed,{dmodel}.dmodel.closing_force,{dmodel}.dmodel.opening_diameter,{dmodel}.dmodel.opening_speed,{dmodel}.dmodel.opening_force,{dmodel}.dmodel.stop,{dmodel}.dmodel.movejoint,{dmodel}.dmodel.target_q0,{dmodel}.dmodel.target_q1,{dmodel}.dmodel.target_q2,{dmodel}.dmodel.target_q3,{dmodel}.dmodel.target_q4,{dmodel}.dmodel.target_q5,{dmodel}.dmodel.movecartesian,{dmodel}.dmodel.target_x,{dmodel}.dmodel.target_y,{dmodel}.dmodel.target_z,{dmodel}.dmodel.target_rx,{dmodel}.dmodel.target_ry,{dmodel}.dmodel.target_rz,{dmodel}.dmodel.setvelocity,{dmodel}.dmodel.target_v,{dmodel}.dmodel.state,{mapping}.mapping.feasibleMoveDiscreteCommand,{mapping}.mapping.robotStopped,{mapping}.mapping.gripperOpened,{mapping}.mapping.collision,{mapping}.mapping.gripperClosed,{mapping}.mapping.nonfeasibleMoveDiscreteCommand,{mapping}.mapping.moveCompleted,{mapping}.mapping.q0,{mapping}.mapping.q1,{mapping}.mapping.q2,{mapping}.mapping.q3,{mapping}.mapping.q4,{mapping}.mapping.q5,{mapping}.mapping.qd0,{mapping}.mapping.qd1,{mapping}.mapping.qd2,{mapping}.mapping.qd3,{mapping}.mapping.qd4,{mapping}.mapping.qd5,{mapping}.mapping.qdd0,{mapping}.mapping.qdd1,{mapping}.mapping.qdd2,{mapping}.mapping.qdd3,{mapping}.mapping.qdd4,{mapping}.mapping.qdd5,{mapping}.mapping.t0,{mapping}.mapping.t1,{mapping}.mapping.t2,{mapping}.mapping.t3,{mapping}.mapping.t4,{mapping}.mapping.t5,{rmqfmu}.rmqfmu.closeGripperCommand,{rmqfmu}.rmqfmu.openGripperCommand,{rmqfmu}.rmqfmu.moveDiscreteCommand,{rmqfmu}.rmqfmu.MovementArgs_target_X,{rmqfmu}.rmqfmu.MovementArgs_target_Y,{rmqfmu}.rmqfmu.MovementArgs_target_Z
11.0,true,false,false,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-2.0069919376656857,-0.7882699304940375,0.6917881715646947,-1.4743118403820112,-1.5707963414662691,2.7053885510989177,2.037450919090539E-6,-2.8769248050514345E-5,0.0,-1.0950086970498109E-4,9.327383310166661E-8,-3.9841907550916143E-7,0.0,0.0,0.0,0.0,0.0,0.0,1.7682856248162835,16.385052904571452,5.1453981723831905,0.17876553751445154,1.056968556065369E-4,-6.568442130642657,false,false,false,0,0,0
11.5,true,false,false,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-2.0069919155110183,-0.7882696722100624,0.6917881715646943,-1.474310845557505,-1.5707963426975509,2.7053885528855544,-1.0796643579171688E-7,4.5711786178524106E-5,8.88178419700302E-14,1.4933704584055492E-5,-1.4966694550369788E-8,4.071058157251983E-7,0.0,0.0,0.0,0.0,0.0,0.0,-1.01954093915494,16.39011663842423,5.150517148558747,0.18385247180487474,8.813583153312829E-5,-7.07346710502941,false,false,false,0,0,0
12.0,true,false,false,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-2.006991972031141,-0.788269181972975,0.6917881715646952,-1.474310062181547,-1.5707963424613434,2.7053885594894176,1.679369887596345E-6,5.323698459844314E-5,0.0,1.288015491595525E-4,-1.1484715400905352E-7,4.023016586527535E-7,0.0,0.0,0.0,0.0,0.0,0.0,1.002287825658344,16.374828595730957,5.135414104633396,0.1691686546983026,1.1056756821111098E-4,-7.008590935445861,false,false,false,0,0,0
12.5,true,false,false,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-2.00699196961311,-0.7882689785793788,0.6917881715646947,-1.474310680772211,-1.5707963424550782,2.705388558280384,-7.818842462366412E-7,-3.6007509862638244E-5,8.881784196996708E-14,-6.138953843045826E-5,-3.7248426565364798E-9,-5.332825736556515E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.7276728785610884,16.3838095956291,5.147361289427981,0.18371303524157714,6.0534045074797844E-5,-7.2051071183863,false,false,false,0,0,0
13.0,true,false,false,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-2.0069919327037624,-0.7882694680175564,0.6917881715646947,-1.4743108281459207,-1.5707963419164566,2.705388555834647,4.186681223925593E-7,6.580217180026624E-5,0.0,1.5440992502383384E-4,-1.1398970656267546E-7,4.9145807423631E-7,0.0,0.0,0.0,0.0,0.0,0.0,-0.053243436614888305,16.397154389753755,5.156494155917315,0.18872801697894834,9.63546854717144E-5,-6.614139212894298,false,false,false,0,0,0
13.5,true,false,false,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-2.0069919454377603,-0.7882691431218918,0.6917881715646952,-1.4743097728536245,-1.5707963435425505,2.7053885614290927,1.1901434504573723E-6,-3.991262191858259E-5,0.0,-7.933451939830354E-5,6.588631862310916E-8,-5.528297819520858E-7,0.0,0.0,0.0,0.0,0.0,0.0,-0.6268306476444285,16.38088075810608,5.1394058237381355,0.1710217443050711,1.009781869121332E-4,-6.701505319230291,false,false,false,0,0,0
14.0,true,false,false,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-2.0069919121117685,-0.7882695544553808,0.6917881715646947,-1.4743109000846895,-1.570796342645382,2.7053885583865336,-8.372223803117132E-7,2.5972569694929816E-5,0.0,3.991916184274036E-5,3.4978242524612436E-9,4.278803089616843E-7,0.0,0.0,0.0,0.0,0.0,0.0,-1.2673047050184623,16.38572767165609,5.143114807527189,0.17380287816190587,1.4727106624991255E-4,-6.641226472991839,false,false,false,0,0,0
14.5,true,false,false,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-2.006991947681114,-0.7882702939498554,0.6917881715646947,-1.4743126701340925,-1.5707963404580196,2.705388548033204,7.918949052050762E-7,-5.216284399975453E-5,0.0,-1.2390364290120514E-4,9.370584308494226E-8,-4.4159875756099757E-7,0.0,0.0,0.0,0.0,0.0,0.0,-0.4105923199261438,16.386410009945322,5.1476611610767655,0.18187490066929732,8.948491166011727E-5,-6.634477268372867,false,false,false,0,0,0
15.0,true,false,false,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-2.006991974012549,-0.7882706186486415,0.6917881715646947,-1.4743134965457756,-1.5707963400618477,2.7053885447310693,2.4844712953596194E-7,-4.2182113446621106E-5,8.881784196996708E-14,4.031248472811269E-5,-3.3619151906788E-8,4.709216128160143E-7,0.0,0.0,0.0,0.0,0.0,0.0,1.279724604289662,16.382200208484225,5.144308154315905,0.17947244111095945,9.157903638612255E-5,-6.729188723314309,false,false,false,0,0,0
15.5,true,false,false,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-2.0069919350332572,-0.7882703908921767,0.6917881715646947,-1.4743130558189987,-1.5707963399941791,2.7053885490187213,3.762085754031326E-7,-8.3358344227193E-6,0.0,-4.8516710648957735E-6,1.449045328171619E-8,-2.8069369051294605E-7,0.0,0.0,0.0,0.0,0.0,0.0,-0.4617015213502932,16.374598630617093,5.135534228255332,0.16959440598367043,1.1021644160060725E-4,-6.89644640224996,false,false,false,0,0,0
